LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,RH2M,PS,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
36.78551,10.15781,1989,01,01,    0.40,    6.43,   72.48,  101.87,    5.64,   12.68,    7.66,    7.66,   15.75,   10.11,   12.46
36.78551,10.15781,1989,01,02,    0.19,    6.53,   78.22,  101.87,    6.43,   11.46,    7.88,    7.88,   15.50,    9.07,   11.55
36.78551,10.15781,1989,01,03,    0.33,    6.21,   74.63,  102.18,    5.74,   11.62,    7.17,    7.18,   15.01,    9.27,   11.53
36.78551,10.15781,1989,01,04,    0.12,    6.59,   81.43,  102.42,    4.44,   11.02,    8.11,    8.11,   13.77,    9.33,   11.16
36.78551,10.15781,1989,01,05,    0.43,    6.16,   80.64,  102.12,    5.54,   10.49,    7.08,    7.09,   13.40,    7.86,   10.25
36.78551,10.15781,1989,01,06,    2.00,    6.03,   79.77,  101.39,    6.14,   10.61,    6.62,    6.63,   13.56,    7.42,    9.97
36.78551,10.15781,1989,01,07,    0.26,    5.97,   75.54,  101.11,    8.26,   10.85,    6.36,    6.37,   15.81,    7.55,   10.62
36.78551,10.15781,1989,01,08,    0.75,    6.88,   82.70,  101.22,    7.71,   11.56,    8.50,    8.51,   15.70,    7.99,   11.39
36.78551,10.15781,1989,01,09,    0.03,    6.27,   74.99,  101.49,   10.34,   11.15,    7.14,    7.15,   17.70,    7.37,   11.50
36.78551,10.15781,1989,01,10,    0.00,    5.50,   62.72,  101.37,   12.32,   11.39,    4.98,    5.00,   19.64,    7.32,   12.22
36.78551,10.15781,1989,01,11,    0.00,    5.85,   67.50,  101.49,   12.47,   11.11,    5.81,    5.83,   19.32,    6.85,   12.07
36.78551,10.15781,1989,01,12,    0.00,    6.65,   76.71,  101.77,    9.62,   10.64,    7.87,    7.88,   18.41,    8.79,   12.09
36.78551,10.15781,1989,01,13,    0.00,    7.11,   83.85,  102.20,    8.42,   11.01,    9.06,    9.06,   17.22,    8.80,   11.82
36.78551,10.15781,1989,01,14,    0.00,    6.90,   79.70,  102.40,    5.68,   12.39,    8.76,    8.76,   15.90,   10.22,   12.18
36.78551,10.15781,1989,01,15,    0.00,    6.15,   72.79,  102.52,    4.57,   11.55,    7.10,    7.10,   14.37,    9.80,   11.82
36.78551,10.15781,1989,01,16,    0.00,    6.10,   74.76,  102.42,    8.00,   10.82,    6.98,    6.98,   15.74,    7.74,   11.27
36.78551,10.15781,1989,01,17,    0.00,    6.45,   80.85,  102.20,    8.01,   10.84,    7.72,    7.73,   15.10,    7.09,   10.92
36.78551,10.15781,1989,01,18,    0.02,    7.01,   82.38,  101.89,    4.36,   11.29,    8.91,    8.92,   14.46,   10.10,   11.83
36.78551,10.15781,1989,01,19,    0.00,    6.90,   78.62,  101.87,    6.16,   11.77,    8.69,    8.69,   16.24,   10.08,   12.30
36.78551,10.15781,1989,01,20,    0.00,    6.90,   79.53,  101.97,    7.33,   11.61,    8.67,    8.67,   16.78,    9.46,   12.13
36.78551,10.15781,1989,01,21,    1.83,    8.06,   94.62,  101.69,    4.69,   11.43,   10.97,   10.97,   14.51,    9.82,   11.80
36.78551,10.15781,1989,01,22,    3.27,    6.77,   82.48,  101.31,    5.04,   11.62,    8.30,    8.30,   14.28,    9.24,   11.19
36.78551,10.15781,1989,01,23,    4.99,    6.39,   84.71,  101.10,    4.50,   10.63,    7.43,    7.44,   12.09,    7.59,    9.91
36.78551,10.15781,1989,01,24,    2.99,    6.85,   85.33,  101.43,    4.38,   11.33,    8.54,    8.54,   13.74,    9.36,   10.89
36.78551,10.15781,1989,01,25,    2.12,    6.75,   82.52,  101.75,    4.06,   11.44,    8.37,    8.37,   13.79,    9.74,   11.22
36.78551,10.15781,1989,01,26,    1.64,    5.99,   72.71,  101.76,    7.09,   11.06,    6.58,    6.58,   15.62,    8.53,   11.33
36.78551,10.15781,1989,01,27,    1.66,    6.33,   79.50,  102.05,    8.00,   10.85,    7.41,    7.42,   15.52,    7.52,   10.85
36.78551,10.15781,1989,01,28,    3.44,    6.71,   86.52,  102.25,    5.32,   10.11,    8.34,    8.34,   13.41,    8.09,   10.48
