LAT,LON,YEAR,MO,DY,WS50M_RANGE,WS10M_RANGE,WS50M_MIN,WS10M_MIN,WS50M_MAX,WS10M_MAX,WS50M,WS10M,KT,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DWN
36.78551,10.15781,1989,01,01,    3.08,    2.28,    3.40,    2.45,    6.48,    4.73,    5.47,    3.78,              0.23,              3.05,              1.04
36.78551,10.15781,1989,01,02,    3.08,    3.03,    3.44,    2.49,    6.52,    5.52,    4.96,    3.63,              0.42,              2.33,              1.89
36.78551,10.15781,1989,01,03,    2.45,    1.17,    2.20,    2.06,    4.64,    3.23,    3.64,    2.68,              0.50,              3.03,              2.26
36.78551,10.15781,1989,01,04,    2.41,    1.66,    1.09,    0.89,    3.50,    2.55,    2.06,    1.56,              0.24,              3.08,              1.08
36.78551,10.15781,1989,01,05,    5.24,    4.14,    0.32,    0.17,    5.56,    4.31,    3.52,    2.66,              0.33,              2.96,              1.51
36.78551,10.15781,1989,01,06,    2.91,    3.19,    5.88,    3.72,    8.79,    6.91,    7.73,    5.54,              0.54,              3.10,              2.44
36.78551,10.15781,1989,01,07,    2.85,    1.01,    4.35,    3.37,    7.21,    4.38,    5.56,    3.90,              0.53,              3.02,              2.41
36.78551,10.15781,1989,01,08,    5.16,    5.30,    5.04,    3.16,   10.21,    8.46,    8.14,    5.76,              0.34,              3.14,              1.58
36.78551,10.15781,1989,01,09,    2.90,    1.34,    2.16,    1.99,    5.07,    3.33,    3.57,    2.62,              0.65,              3.00,              3.00
36.78551,10.15781,1989,01,10,    2.97,    1.92,    1.47,    1.17,    4.44,    3.08,    3.10,    2.26,              0.62,              2.90,              2.90
36.78551,10.15781,1989,01,11,    3.76,    2.17,    0.71,    0.59,    4.47,    2.76,    2.84,    2.02,              0.63,              2.93,              2.93
36.78551,10.15781,1989,01,12,    5.09,    3.30,    0.08,    0.10,    5.16,    3.40,    2.57,    1.92,              0.59,              2.82,              2.78
36.78551,10.15781,1989,01,13,    3.32,    1.99,    1.40,    1.12,    4.72,    3.11,    2.69,    2.07,              0.56,              3.01,              2.67
36.78551,10.15781,1989,01,14,    3.55,    1.95,    1.75,    1.31,    5.31,    3.26,    3.03,    2.25,              0.48,              2.37,              2.29
36.78551,10.15781,1989,01,15,    2.74,    2.51,    1.48,    1.12,    4.23,    3.63,    2.71,    2.13,              0.37,              3.36,              1.78
